index,model,variable,role,type,value
21,anthropic_claude-3-5-haiku-20241022,jaguars,argument,int,6
21,anthropic_claude-3-5-haiku-20241022,snakes_per_jaguar,argument,int,5
21,anthropic_claude-3-5-haiku-20241022,birds_per_snake,argument,int,3
21,anthropic_claude-3-5-haiku-20241022,beetles_per_bird,argument,int,12
21,anthropic_claude-3-5-haiku-20241022,total_snakes_eaten,intermediate,int,30
21,anthropic_claude-3-5-haiku-20241022,total_birds_eaten,intermediate,int,90
21,anthropic_claude-3-5-haiku-20241022,total_beetles_eaten,intermediate,int,1080
21,anthropic_claude-3-5-haiku-20241022,answer,final,int,1080
21,openai_gpt-4.1-mini,beetles_per_bird,argument,int,12
21,openai_gpt-4.1-mini,birds_per_snake,argument,int,3
21,openai_gpt-4.1-mini,snakes_per_jaguar,argument,int,5
21,openai_gpt-4.1-mini,num_jaguars,argument,int,6
21,openai_gpt-4.1-mini,total_snakes_eaten,intermediate,int,30
21,openai_gpt-4.1-mini,total_birds_eaten,intermediate,int,90
21,openai_gpt-4.1-mini,total_beetles_eaten,intermediate,int,1080
21,openai_gpt-4.1-mini,answer,final,int,1080
21,google_gemini-2.0-flash-thinking-exp,beetles_per_bird,argument,int,12
21,google_gemini-2.0-flash-thinking-exp,birds_per_snake,argument,int,3
21,google_gemini-2.0-flash-thinking-exp,snakes_per_jaguar,argument,int,5
21,google_gemini-2.0-flash-thinking-exp,num_jaguars,argument,int,6
21,google_gemini-2.0-flash-thinking-exp,total_snakes_eaten,intermediate,int,30
21,google_gemini-2.0-flash-thinking-exp,total_birds_eaten,intermediate,int,90
21,google_gemini-2.0-flash-thinking-exp,total_beetles_eaten,intermediate,int,1080
21,google_gemini-2.0-flash-thinking-exp,answer,final,int,1080
21,google_gemini-2.5-flash-lite-preview-06-17,beetles_per_bird,argument,int,12
21,google_gemini-2.5-flash-lite-preview-06-17,birds_per_snake,argument,int,3
21,google_gemini-2.5-flash-lite-preview-06-17,snakes_per_jaguar,argument,int,5
21,google_gemini-2.5-flash-lite-preview-06-17,num_jaguars,argument,int,6
21,google_gemini-2.5-flash-lite-preview-06-17,total_snakes_eaten,intermediate,int,30
21,google_gemini-2.5-flash-lite-preview-06-17,total_birds_eaten,intermediate,int,90
21,google_gemini-2.5-flash-lite-preview-06-17,total_beetles_eaten,intermediate,int,1080
21,google_gemini-2.5-flash-lite-preview-06-17,answer,final,int,1080
21,google_gemini-2.5-flash,beetles_per_bird,argument,int,12
21,google_gemini-2.5-flash,birds_per_snake,argument,int,3
21,google_gemini-2.5-flash,snakes_per_jaguar,argument,int,5
21,google_gemini-2.5-flash,num_jaguars,argument,int,6
21,google_gemini-2.5-flash,total_snakes_eaten,intermediate,int,30
21,google_gemini-2.5-flash,total_birds_eaten,intermediate,int,90
21,google_gemini-2.5-flash,total_beetles_eaten,intermediate,int,1080
21,google_gemini-2.5-flash,answer,final,int,1080
