index,model,variable,role,type,value
39,anthropic_claude-3-5-haiku-20241022,anna_candy_per_house,argument,int,14
39,anthropic_claude-3-5-haiku-20241022,billy_candy_per_house,argument,int,11
39,anthropic_claude-3-5-haiku-20241022,anna_houses,argument,int,60
39,anthropic_claude-3-5-haiku-20241022,billy_houses,argument,int,75
39,anthropic_claude-3-5-haiku-20241022,anna_total_candy,intermediate,int,840
39,anthropic_claude-3-5-haiku-20241022,billy_total_candy,intermediate,int,825
39,anthropic_claude-3-5-haiku-20241022,candy_difference,intermediate,int,15
39,anthropic_claude-3-5-haiku-20241022,answer,final,int,15
39,openai_gpt-4.1-mini,candy_per_house_anna,argument,int,14
39,openai_gpt-4.1-mini,houses_anna,argument,int,60
39,openai_gpt-4.1-mini,candy_per_house_billy,argument,int,11
39,openai_gpt-4.1-mini,houses_billy,argument,int,75
39,openai_gpt-4.1-mini,total_candy_anna,intermediate,int,840
39,openai_gpt-4.1-mini,total_candy_billy,intermediate,int,825
39,openai_gpt-4.1-mini,difference_candy,intermediate,int,15
39,openai_gpt-4.1-mini,answer,final,int,15
39,google_gemini-2.0-flash-thinking-exp,anna_candy_per_house,argument,int,14
39,google_gemini-2.0-flash-thinking-exp,billy_candy_per_house,argument,int,11
39,google_gemini-2.0-flash-thinking-exp,anna_houses,argument,int,60
39,google_gemini-2.0-flash-thinking-exp,billy_houses,argument,int,75
39,google_gemini-2.0-flash-thinking-exp,anna_total_candy,intermediate,int,840
39,google_gemini-2.0-flash-thinking-exp,billy_total_candy,intermediate,int,825
39,google_gemini-2.0-flash-thinking-exp,difference,intermediate,int,15
39,google_gemini-2.0-flash-thinking-exp,answer,final,int,15
39,google_gemini-2.5-flash-lite-preview-06-17,anna_candy_per_house,argument,int,14
39,google_gemini-2.5-flash-lite-preview-06-17,anna_houses,argument,int,60
39,google_gemini-2.5-flash-lite-preview-06-17,billy_candy_per_house,argument,int,11
39,google_gemini-2.5-flash-lite-preview-06-17,billy_houses,argument,int,75
39,google_gemini-2.5-flash-lite-preview-06-17,anna_total_candy,intermediate,int,840
39,google_gemini-2.5-flash-lite-preview-06-17,billy_total_candy,intermediate,int,825
39,google_gemini-2.5-flash-lite-preview-06-17,difference_in_candy,intermediate,int,15
39,google_gemini-2.5-flash-lite-preview-06-17,answer,final,int,15
39,google_gemini-2.5-flash,candy_per_house_anna,argument,int,14
39,google_gemini-2.5-flash,candy_per_house_billy,argument,int,11
39,google_gemini-2.5-flash,houses_subdivision_anna,argument,int,60
39,google_gemini-2.5-flash,houses_subdivision_billy,argument,int,75
39,google_gemini-2.5-flash,total_candy_anna,intermediate,int,840
39,google_gemini-2.5-flash,total_candy_billy,intermediate,int,825
39,google_gemini-2.5-flash,difference_in_candy,intermediate,int,15
39,google_gemini-2.5-flash,answer,final,int,15
