index,model,variable,role,type,value
65,anthropic_claude-3-5-haiku-20241022,base_lawn_price,argument,int,33
65,anthropic_claude-3-5-haiku-20241022,lawns_mowed,argument,int,16
65,anthropic_claude-3-5-haiku-20241022,num_tips,argument,int,3
65,anthropic_claude-3-5-haiku-20241022,tip_amount,argument,int,10
65,anthropic_claude-3-5-haiku-20241022,total_base_earnings,intermediate,int,528
65,anthropic_claude-3-5-haiku-20241022,total_tips,intermediate,int,30
65,anthropic_claude-3-5-haiku-20241022,total_earnings,intermediate,int,558
65,anthropic_claude-3-5-haiku-20241022,answer,final,int,558
65,openai_gpt-4.1-mini,charge_per_lawn,argument,int,33
65,openai_gpt-4.1-mini,lawns_mowed_last_week,argument,int,16
65,openai_gpt-4.1-mini,num_customers_tipping,argument,int,3
65,openai_gpt-4.1-mini,tip_amount_per_customer,argument,int,10
65,openai_gpt-4.1-mini,earnings_from_lawns,intermediate,int,528
65,openai_gpt-4.1-mini,total_tips,intermediate,int,30
65,openai_gpt-4.1-mini,total_earnings,intermediate,int,558
65,openai_gpt-4.1-mini,answer,final,int,558
65,google_gemini-2.0-flash-thinking-exp,charge_per_lawn,argument,int,33
65,google_gemini-2.0-flash-thinking-exp,lawns_mowed,argument,int,16
65,google_gemini-2.0-flash-thinking-exp,customers_tipped,argument,int,3
65,google_gemini-2.0-flash-thinking-exp,tip_amount,argument,int,10
65,google_gemini-2.0-flash-thinking-exp,earnings_from_mowing,intermediate,int,528
65,google_gemini-2.0-flash-thinking-exp,earnings_from_tips,intermediate,int,30
65,google_gemini-2.0-flash-thinking-exp,total_earnings,intermediate,int,558
65,google_gemini-2.0-flash-thinking-exp,answer,final,int,558
65,google_gemini-2.5-flash-lite-preview-06-17,charge_per_lawn,argument,int,33
65,google_gemini-2.5-flash-lite-preview-06-17,lawns_mowed_last_week,argument,int,16
65,google_gemini-2.5-flash-lite-preview-06-17,num_customers_tip,argument,int,3
65,google_gemini-2.5-flash-lite-preview-06-17,tip_per_customer,argument,int,10
65,google_gemini-2.5-flash-lite-preview-06-17,earnings_from_mowing,intermediate,int,528
65,google_gemini-2.5-flash-lite-preview-06-17,total_tips,intermediate,int,30
65,google_gemini-2.5-flash-lite-preview-06-17,total_earnings,intermediate,int,558
65,google_gemini-2.5-flash-lite-preview-06-17,answer,final,int,558
65,google_gemini-2.5-flash,lawn_charge,argument,int,33
65,google_gemini-2.5-flash,lawns_mowed_last_week,argument,int,16
65,google_gemini-2.5-flash,num_customers_tipped,argument,int,3
65,google_gemini-2.5-flash,tip_amount,argument,int,10
65,google_gemini-2.5-flash,earnings_from_mowing,intermediate,int,528
65,google_gemini-2.5-flash,total_tips,intermediate,int,30
65,google_gemini-2.5-flash,total_earnings,intermediate,int,558
65,google_gemini-2.5-flash,answer,final,int,558
