index,model,variable,role,type,value
80,anthropic_claude-3-5-haiku-20241022,initial_cans,argument,int,40.0
80,anthropic_claude-3-5-haiku-20241022,mark_cans,argument,int,50.0
80,anthropic_claude-3-5-haiku-20241022,jennifer_additional_cans_per_mark_cans,argument,int,6.0
80,anthropic_claude-3-5-haiku-20241022,mark_cans_ratio,argument,int,5.0
80,anthropic_claude-3-5-haiku-20241022,times_jennifer_added_cans,intermediate,float,10.0
80,anthropic_claude-3-5-haiku-20241022,additional_cans,intermediate,float,60.0
80,anthropic_claude-3-5-haiku-20241022,total_cans,intermediate,float,100.0
80,anthropic_claude-3-5-haiku-20241022,answer,final,float,100.0
80,openai_gpt-4.1-mini,initial_cans_jennifer,argument,int,40.0
80,openai_gpt-4.1-mini,additional_cans_per_5_mark,argument,int,6.0
80,openai_gpt-4.1-mini,cans_mark_bought,argument,int,50.0
80,openai_gpt-4.1-mini,times_additional_cans,intermediate,float,10.0
80,openai_gpt-4.1-mini,total_additional_cans,intermediate,float,60.0
80,openai_gpt-4.1-mini,total_cans_jennifer,intermediate,float,100.0
80,openai_gpt-4.1-mini,answer,final,float,100.0
80,google_gemini-2.0-flash-thinking-exp,jennifer_initial_cans,argument,int,40.0
80,google_gemini-2.0-flash-thinking-exp,additional_cans_jennifer,argument,int,6.0
80,google_gemini-2.0-flash-thinking-exp,cans_mark_bought_ratio,argument,int,5.0
80,google_gemini-2.0-flash-thinking-exp,mark_total_cans,argument,int,50.0
80,google_gemini-2.0-flash-thinking-exp,times_ratio_occurred,intermediate,float,10.0
80,google_gemini-2.0-flash-thinking-exp,total_additional_cans,intermediate,float,60.0
80,google_gemini-2.0-flash-thinking-exp,total_cans_jennifer,intermediate,float,100.0
80,google_gemini-2.0-flash-thinking-exp,answer,final,float,100.0
80,google_gemini-2.5-flash-lite-preview-06-17,initial_cans_jennifer,argument,int,40.0
80,google_gemini-2.5-flash-lite-preview-06-17,cans_jennifer_per_mark_cans,argument,int,6.0
80,google_gemini-2.5-flash-lite-preview-06-17,mark_cans_ratio,argument,int,5.0
80,google_gemini-2.5-flash-lite-preview-06-17,cans_mark_bought,argument,int,50.0
80,google_gemini-2.5-flash-lite-preview-06-17,times_jennifer_added_cans,intermediate,float,10.0
80,google_gemini-2.5-flash-lite-preview-06-17,additional_cans_jennifer,intermediate,float,60.0
80,google_gemini-2.5-flash-lite-preview-06-17,total_cans_jennifer,intermediate,float,100.0
80,google_gemini-2.5-flash-lite-preview-06-17,answer,final,float,100.0
80,google_gemini-2.5-flash,jennifer_initial_cans,argument,int,40.0
80,google_gemini-2.5-flash,jennifer_additional_cans_per_ratio,argument,int,6.0
80,google_gemini-2.5-flash,mark_cans_per_ratio,argument,int,5.0
80,google_gemini-2.5-flash,mark_total_cans,argument,int,50.0
80,google_gemini-2.5-flash,times_jennifer_added,intermediate,float,10.0
80,google_gemini-2.5-flash,total_additional_cans_jennifer,intermediate,float,60.0
80,google_gemini-2.5-flash,total_cans_jennifer_brought_home,intermediate,float,100.0
80,google_gemini-2.5-flash,answer,final,float,100.0
