index,model,variable,role,type,value
43,anthropic_claude-3-5-haiku-20241022,initial_buildings_collapsed,argument,int,4
43,anthropic_claude-3-5-haiku-20241022,second_earthquake_buildings,intermediate,int,8
43,anthropic_claude-3-5-haiku-20241022,third_earthquake_buildings,intermediate,int,16
43,anthropic_claude-3-5-haiku-20241022,fourth_earthquake_buildings,intermediate,int,32
43,anthropic_claude-3-5-haiku-20241022,total_buildings_collapsed,intermediate,int,60
43,anthropic_claude-3-5-haiku-20241022,answer,final,int,60
43,openai_gpt-4.1-mini,initial_collapsed,argument,int,4
43,openai_gpt-4.1-mini,num_following_earthquakes,argument,int,3
43,openai_gpt-4.1-mini,second_earthquake_collapsed,intermediate,int,8
43,openai_gpt-4.1-mini,third_earthquake_collapsed,intermediate,int,16
43,openai_gpt-4.1-mini,fourth_earthquake_collapsed,intermediate,int,32
43,openai_gpt-4.1-mini,total_collapsed,intermediate,int,60
43,openai_gpt-4.1-mini,answer,final,int,60
43,google_gemini-2.0-flash-thinking-exp,initial_collapsed_buildings,argument,int,4
43,google_gemini-2.0-flash-thinking-exp,collapse_multiplier,argument,int,2
43,google_gemini-2.0-flash-thinking-exp,num_additional_earthquakes,argument,int,3
43,google_gemini-2.0-flash-thinking-exp,collapsed_earthquake_2,intermediate,int,8
43,google_gemini-2.0-flash-thinking-exp,collapsed_earthquake_3,intermediate,int,16
43,google_gemini-2.0-flash-thinking-exp,collapsed_earthquake_4,intermediate,int,32
43,google_gemini-2.0-flash-thinking-exp,total_collapsed_buildings,intermediate,int,60
43,google_gemini-2.0-flash-thinking-exp,answer,final,int,60
43,google_gemini-2.5-flash-lite-preview-06-17,initial_collapses,argument,int,4
43,google_gemini-2.5-flash-lite-preview-06-17,multiplier,argument,int,2
43,google_gemini-2.5-flash-lite-preview-06-17,num_additional_earthquakes,argument,int,3
43,google_gemini-2.5-flash-lite-preview-06-17,second_earthquake_collapses,intermediate,int,8
43,google_gemini-2.5-flash-lite-preview-06-17,third_earthquake_collapses,intermediate,int,16
43,google_gemini-2.5-flash-lite-preview-06-17,fourth_earthquake_collapses,intermediate,int,32
43,google_gemini-2.5-flash-lite-preview-06-17,total_collapses,intermediate,int,60
43,google_gemini-2.5-flash-lite-preview-06-17,answer,final,int,60
43,google_gemini-2.5-flash,initial_collapsed_buildings,argument,int,4
43,google_gemini-2.5-flash,collapse_multiplier,argument,int,2
43,google_gemini-2.5-flash,num_additional_earthquakes,argument,int,3
43,google_gemini-2.5-flash,second_earthquake_collapsed,intermediate,int,8
43,google_gemini-2.5-flash,third_earthquake_collapsed,intermediate,int,16
43,google_gemini-2.5-flash,fourth_earthquake_collapsed,intermediate,int,32
43,google_gemini-2.5-flash,total_collapsed_buildings,intermediate,int,60
43,google_gemini-2.5-flash,answer,final,int,60
