index,model,variable,role,type,value
99,anthropic_claude-3-5-haiku-20241022,first_tank_water,argument,int,48.0
99,anthropic_claude-3-5-haiku-20241022,fish_size_first_tank,argument,int,3.0
99,anthropic_claude-3-5-haiku-20241022,fish_size_second_tank,argument,int,2.0
99,anthropic_claude-3-5-haiku-20241022,second_tank_water,intermediate,float,24.0
99,anthropic_claude-3-5-haiku-20241022,fish_in_second_tank,intermediate,float,12.0
99,anthropic_claude-3-5-haiku-20241022,fish_in_first_tank,intermediate,float,16.0
99,anthropic_claude-3-5-haiku-20241022,fish_in_first_tank_after_eating,intermediate,float,15.0
99,anthropic_claude-3-5-haiku-20241022,difference_in_fish,intermediate,float,3.0
99,anthropic_claude-3-5-haiku-20241022,answer,final,float,3.0
99,openai_gpt-4.1-mini,first_tank_gallons,argument,int,48.0
99,openai_gpt-4.1-mini,first_tank_fish_size,argument,int,3.0
99,openai_gpt-4.1-mini,second_tank_fish_size,argument,int,2.0
99,openai_gpt-4.1-mini,second_tank_gallons,intermediate,float,24.0
99,openai_gpt-4.1-mini,second_tank_fish_count,intermediate,float,12.0
99,openai_gpt-4.1-mini,first_tank_fish_count,intermediate,float,16.0
99,openai_gpt-4.1-mini,first_tank_fish_after_eating,intermediate,float,15.0
99,openai_gpt-4.1-mini,fish_difference,intermediate,float,3.0
99,openai_gpt-4.1-mini,answer,final,float,3.0
99,google_gemini-2.0-flash-thinking-exp,gallons_tank1,argument,int,48.0
99,google_gemini-2.0-flash-thinking-exp,size_factor,argument,int,2.0
99,google_gemini-2.0-flash-thinking-exp,gallons_per_inch,argument,int,1.0
99,google_gemini-2.0-flash-thinking-exp,fish_length_tank2,argument,int,2.0
99,google_gemini-2.0-flash-thinking-exp,fish_length_tank1,argument,int,3.0
99,google_gemini-2.0-flash-thinking-exp,gallons_tank2,intermediate,float,24.0
99,google_gemini-2.0-flash-thinking-exp,fish_tank2,intermediate,float,12.0
99,google_gemini-2.0-flash-thinking-exp,initial_fish_tank1,intermediate,float,16.0
99,google_gemini-2.0-flash-thinking-exp,fish_tank1_after_eating,intermediate,float,15.0
99,google_gemini-2.0-flash-thinking-exp,difference_in_fish,intermediate,float,3.0
99,google_gemini-2.0-flash-thinking-exp,answer,final,float,3.0
99,google_gemini-2.5-flash-lite-preview-06-17,gallons_in_first_tank,argument,int,48.0
99,google_gemini-2.5-flash-lite-preview-06-17,ratio_first_to_second_tank,argument,int,2.0
99,google_gemini-2.5-flash-lite-preview-06-17,fish_size_second_tank,argument,int,2.0
99,google_gemini-2.5-flash-lite-preview-06-17,fish_size_first_tank,argument,int,3.0
99,google_gemini-2.5-flash-lite-preview-06-17,fish_eaten_in_first_tank,argument,int,1.0
99,google_gemini-2.5-flash-lite-preview-06-17,gallons_in_second_tank,intermediate,float,24.0
99,google_gemini-2.5-flash-lite-preview-06-17,num_fish_second_tank,intermediate,float,12.0
99,google_gemini-2.5-flash-lite-preview-06-17,num_fish_first_tank,intermediate,float,16.0
99,google_gemini-2.5-flash-lite-preview-06-17,num_fish_first_tank_after_eating,intermediate,float,15.0
99,google_gemini-2.5-flash-lite-preview-06-17,difference_in_fish,intermediate,float,3.0
99,google_gemini-2.5-flash-lite-preview-06-17,answer,final,float,3.0
99,google_gemini-2.5-flash,first_tank_water_gallons,argument,int,48.0
99,google_gemini-2.5-flash,first_tank_size_multiplier,argument,int,2.0
99,google_gemini-2.5-flash,gallons_per_inch_fish,argument,int,1.0
99,google_gemini-2.5-flash,second_tank_fish_size,argument,int,2.0
99,google_gemini-2.5-flash,first_tank_fish_size,argument,int,3.0
99,google_gemini-2.5-flash,fish_eaten_in_first_tank,argument,int,1.0
99,google_gemini-2.5-flash,second_tank_gallons,intermediate,float,24.0
99,google_gemini-2.5-flash,fish_in_second_tank,intermediate,float,12.0
99,google_gemini-2.5-flash,initial_fish_in_first_tank,intermediate,float,16.0
99,google_gemini-2.5-flash,final_fish_in_first_tank,intermediate,float,15.0
99,google_gemini-2.5-flash,more_fish_in_first_tank,intermediate,float,3.0
99,google_gemini-2.5-flash,answer,final,float,3.0
