index,model,variable,role,type,value
30,anthropic_claude-3-5-haiku-20241022,num_people,argument,int,4.0
30,anthropic_claude-3-5-haiku-20241022,pieces_per_pizza,argument,int,4.0
30,anthropic_claude-3-5-haiku-20241022,bill_dale_percent_eaten,argument,float,0.5
30,anthropic_claude-3-5-haiku-20241022,ann_cate_percent_eaten,argument,float,0.75
30,anthropic_claude-3-5-haiku-20241022,total_pizza_pieces,intermediate,int,16.0
30,anthropic_claude-3-5-haiku-20241022,bill_dale_pieces_eaten,intermediate,float,4.0
30,anthropic_claude-3-5-haiku-20241022,ann_cate_pieces_eaten,intermediate,float,6.0
30,anthropic_claude-3-5-haiku-20241022,total_pieces_eaten,intermediate,float,10.0
30,anthropic_claude-3-5-haiku-20241022,pieces_left_uneaten,intermediate,float,6.0
30,anthropic_claude-3-5-haiku-20241022,answer,final,float,6.0
30,openai_gpt-4.1-mini,num_people,argument,int,4.0
30,openai_gpt-4.1-mini,pieces_per_pizza,argument,int,4.0
30,openai_gpt-4.1-mini,percent_eaten_bill_dale,argument,float,0.5
30,openai_gpt-4.1-mini,percent_eaten_ann_cate,argument,float,0.75
30,openai_gpt-4.1-mini,total_pieces,intermediate,int,16.0
30,openai_gpt-4.1-mini,pieces_eaten_bill_dale,intermediate,float,4.0
30,openai_gpt-4.1-mini,pieces_eaten_ann_cate,intermediate,float,6.0
30,openai_gpt-4.1-mini,total_pieces_eaten,intermediate,float,10.0
30,openai_gpt-4.1-mini,pieces_uneaten,intermediate,float,6.0
30,openai_gpt-4.1-mini,answer,final,float,6.0
30,google_gemini-2.0-flash-thinking-exp,pieces_per_pizza,argument,int,4.0
30,google_gemini-2.0-flash-thinking-exp,percent_eaten_bill_dale,argument,float,0.5
30,google_gemini-2.0-flash-thinking-exp,percent_eaten_ann_cate,argument,float,0.75
30,google_gemini-2.0-flash-thinking-exp,num_people,argument,int,4.0
30,google_gemini-2.0-flash-thinking-exp,num_bill_dale,argument,int,2.0
30,google_gemini-2.0-flash-thinking-exp,num_ann_cate,argument,int,2.0
30,google_gemini-2.0-flash-thinking-exp,total_pizza_pieces,intermediate,int,16.0
30,google_gemini-2.0-flash-thinking-exp,pieces_eaten_bill_dale,intermediate,float,4.0
30,google_gemini-2.0-flash-thinking-exp,pieces_eaten_ann_cate,intermediate,float,6.0
30,google_gemini-2.0-flash-thinking-exp,total_pieces_eaten,intermediate,float,10.0
30,google_gemini-2.0-flash-thinking-exp,pieces_left_uneaten,intermediate,float,6.0
30,google_gemini-2.0-flash-thinking-exp,answer,final,float,6.0
30,google_gemini-2.5-flash-lite-preview-06-17,num_people,argument,int,4.0
30,google_gemini-2.5-flash-lite-preview-06-17,pieces_per_pizza,argument,int,4.0
30,google_gemini-2.5-flash-lite-preview-06-17,num_people_eating_50_percent,argument,int,2.0
30,google_gemini-2.5-flash-lite-preview-06-17,percent_eaten_by_bill_dale,argument,float,0.5
30,google_gemini-2.5-flash-lite-preview-06-17,num_people_eating_75_percent,argument,int,2.0
30,google_gemini-2.5-flash-lite-preview-06-17,percent_eaten_by_ann_cate,argument,float,0.75
30,google_gemini-2.5-flash-lite-preview-06-17,total_pieces,intermediate,int,16.0
30,google_gemini-2.5-flash-lite-preview-06-17,pieces_eaten_by_bill_dale,intermediate,float,4.0
30,google_gemini-2.5-flash-lite-preview-06-17,pieces_eaten_by_ann_cate,intermediate,float,6.0
30,google_gemini-2.5-flash-lite-preview-06-17,total_pieces_eaten,intermediate,float,10.0
30,google_gemini-2.5-flash-lite-preview-06-17,uneaten_pieces,intermediate,float,6.0
30,google_gemini-2.5-flash-lite-preview-06-17,answer,final,float,6.0
30,google_gemini-2.5-flash,num_people,argument,int,4.0
30,google_gemini-2.5-flash,pieces_per_pizza,argument,int,4.0
30,google_gemini-2.5-flash,bill_dale_eat_percent,argument,float,0.5
30,google_gemini-2.5-flash,ann_cate_eat_percent,argument,float,0.75
30,google_gemini-2.5-flash,total_pizza_pieces,intermediate,int,16.0
30,google_gemini-2.5-flash,pieces_eaten_bill_dale,intermediate,float,4.0
30,google_gemini-2.5-flash,pieces_eaten_ann_cate,intermediate,float,6.0
30,google_gemini-2.5-flash,total_pieces_eaten,intermediate,float,10.0
30,google_gemini-2.5-flash,uneaten_pizza_pieces,intermediate,float,6.0
30,google_gemini-2.5-flash,answer,final,float,6.0
