index,model,variable,role,type,value
23,anthropic_claude-3-5-haiku-20241022,total_spent,argument,int,75.0
23,anthropic_claude-3-5-haiku-20241022,num_shorts,argument,int,5.0
23,anthropic_claude-3-5-haiku-20241022,price_per_short,argument,int,7.0
23,anthropic_claude-3-5-haiku-20241022,num_shoes,argument,int,2.0
23,anthropic_claude-3-5-haiku-20241022,price_per_shoe,argument,int,10.0
23,anthropic_claude-3-5-haiku-20241022,num_tops,argument,int,4.0
23,anthropic_claude-3-5-haiku-20241022,total_shorts_cost,intermediate,int,35.0
23,anthropic_claude-3-5-haiku-20241022,total_shoes_cost,intermediate,int,20.0
23,anthropic_claude-3-5-haiku-20241022,total_shorts_and_shoes_cost,intermediate,int,55.0
23,anthropic_claude-3-5-haiku-20241022,remaining_money,intermediate,int,20.0
23,anthropic_claude-3-5-haiku-20241022,cost_per_top,intermediate,float,5.0
23,anthropic_claude-3-5-haiku-20241022,answer,final,float,5.0
23,openai_gpt-4.1-mini,total_spent,argument,int,75.0
23,openai_gpt-4.1-mini,num_shorts,argument,int,5.0
23,openai_gpt-4.1-mini,price_per_shorts,argument,int,7.0
23,openai_gpt-4.1-mini,num_shoes,argument,int,2.0
23,openai_gpt-4.1-mini,price_per_shoes,argument,int,10.0
23,openai_gpt-4.1-mini,num_tops,argument,int,4.0
23,openai_gpt-4.1-mini,total_shorts_cost,intermediate,int,35.0
23,openai_gpt-4.1-mini,total_shoes_cost,intermediate,int,20.0
23,openai_gpt-4.1-mini,total_shorts_and_shoes,intermediate,int,55.0
23,openai_gpt-4.1-mini,remaining_amount,intermediate,int,20.0
23,openai_gpt-4.1-mini,cost_per_top,intermediate,float,5.0
23,openai_gpt-4.1-mini,answer,final,float,5.0
23,google_gemini-2.0-flash-thinking-exp,total_spent,argument,int,75.0
23,google_gemini-2.0-flash-thinking-exp,num_shorts,argument,int,5.0
23,google_gemini-2.0-flash-thinking-exp,price_per_short,argument,int,7.0
23,google_gemini-2.0-flash-thinking-exp,num_shoes,argument,int,2.0
23,google_gemini-2.0-flash-thinking-exp,price_per_shoe,argument,int,10.0
23,google_gemini-2.0-flash-thinking-exp,num_tops,argument,int,4.0
23,google_gemini-2.0-flash-thinking-exp,cost_shorts,intermediate,int,35.0
23,google_gemini-2.0-flash-thinking-exp,cost_shoes,intermediate,int,20.0
23,google_gemini-2.0-flash-thinking-exp,combined_cost_shorts_shoes,intermediate,int,55.0
23,google_gemini-2.0-flash-thinking-exp,cost_tops,intermediate,int,20.0
23,google_gemini-2.0-flash-thinking-exp,price_per_top,intermediate,float,5.0
23,google_gemini-2.0-flash-thinking-exp,answer,final,float,5.0
23,google_gemini-2.5-flash-lite-preview-06-17,total_spent,argument,int,75.0
23,google_gemini-2.5-flash-lite-preview-06-17,num_shorts,argument,int,5.0
23,google_gemini-2.5-flash-lite-preview-06-17,price_per_short,argument,int,7.0
23,google_gemini-2.5-flash-lite-preview-06-17,num_shoes,argument,int,2.0
23,google_gemini-2.5-flash-lite-preview-06-17,price_per_shoe,argument,int,10.0
23,google_gemini-2.5-flash-lite-preview-06-17,num_tops,argument,int,4.0
23,google_gemini-2.5-flash-lite-preview-06-17,cost_of_shorts,intermediate,int,35.0
23,google_gemini-2.5-flash-lite-preview-06-17,cost_of_shoes,intermediate,int,20.0
23,google_gemini-2.5-flash-lite-preview-06-17,cost_shorts_and_shoes,intermediate,int,55.0
23,google_gemini-2.5-flash-lite-preview-06-17,cost_of_tops,intermediate,int,20.0
23,google_gemini-2.5-flash-lite-preview-06-17,price_per_top,intermediate,float,5.0
23,google_gemini-2.5-flash-lite-preview-06-17,answer,final,float,5.0
23,google_gemini-2.5-flash,total_spent,argument,int,75.0
23,google_gemini-2.5-flash,num_shorts,argument,int,5.0
23,google_gemini-2.5-flash,price_per_short,argument,int,7.0
23,google_gemini-2.5-flash,num_shoes,argument,int,2.0
23,google_gemini-2.5-flash,price_per_shoe,argument,int,10.0
23,google_gemini-2.5-flash,num_tops,argument,int,4.0
23,google_gemini-2.5-flash,cost_shorts,intermediate,int,35.0
23,google_gemini-2.5-flash,cost_shoes,intermediate,int,20.0
23,google_gemini-2.5-flash,combined_cost_shorts_shoes,intermediate,int,55.0
23,google_gemini-2.5-flash,cost_tops_total,intermediate,int,20.0
23,google_gemini-2.5-flash,cost_per_top,intermediate,float,5.0
23,google_gemini-2.5-flash,answer,final,float,5.0
