index,model,variable,role,type,value
7,anthropic_claude-3-5-haiku-20241022,initial_jelly_beans,argument,int,2
7,anthropic_claude-3-5-haiku-20241022,brownies_multiplier,argument,int,3
7,anthropic_claude-3-5-haiku-20241022,additional_jelly_beans,argument,int,2
7,anthropic_claude-3-5-haiku-20241022,gummy_worms_multiplier,argument,int,2
7,anthropic_claude-3-5-haiku-20241022,weight_after_brownies,intermediate,int,6
7,anthropic_claude-3-5-haiku-20241022,weight_after_additional_jelly_beans,intermediate,int,8
7,anthropic_claude-3-5-haiku-20241022,final_weight,intermediate,int,16
7,anthropic_claude-3-5-haiku-20241022,answer,final,int,16
7,openai_gpt-4.1-mini,initial_weight,argument,int,2
7,openai_gpt-4.1-mini,added_jelly_beans,argument,int,2
7,openai_gpt-4.1-mini,weight_after_brownies,intermediate,int,6
7,openai_gpt-4.1-mini,weight_after_more_jelly_beans,intermediate,int,8
7,openai_gpt-4.1-mini,final_weight,intermediate,int,16
7,openai_gpt-4.1-mini,answer,final,int,16
7,google_gemini-2.0-flash-thinking-exp,initial_jelly_beans_weight,argument,int,2
7,google_gemini-2.0-flash-thinking-exp,brownie_multiplier,argument,int,3
7,google_gemini-2.0-flash-thinking-exp,additional_jelly_beans_weight,argument,int,2
7,google_gemini-2.0-flash-thinking-exp,gummy_worm_multiplier,argument,int,2
7,google_gemini-2.0-flash-thinking-exp,weight_after_brownies,intermediate,int,6
7,google_gemini-2.0-flash-thinking-exp,weight_after_additional_jelly_beans,intermediate,int,8
7,google_gemini-2.0-flash-thinking-exp,final_weight,intermediate,int,16
7,google_gemini-2.0-flash-thinking-exp,answer,final,int,16
7,google_gemini-2.5-flash-lite-preview-06-17,initial_jelly_beans_weight,argument,int,2
7,google_gemini-2.5-flash-lite-preview-06-17,weight_added_jelly_beans,argument,int,2
7,google_gemini-2.5-flash-lite-preview-06-17,weight_after_brownies,intermediate,int,6
7,google_gemini-2.5-flash-lite-preview-06-17,weight_after_more_jelly_beans,intermediate,int,8
7,google_gemini-2.5-flash-lite-preview-06-17,final_weight,intermediate,int,16
7,google_gemini-2.5-flash-lite-preview-06-17,answer,final,int,16
7,google_gemini-2.5-flash,initial_jelly_beans_weight,argument,int,2
7,google_gemini-2.5-flash,additional_jelly_beans_weight,argument,int,2
7,google_gemini-2.5-flash,weight_after_brownies,intermediate,int,6
7,google_gemini-2.5-flash,weight_after_second_jelly_beans,intermediate,int,8
7,google_gemini-2.5-flash,final_weight,intermediate,int,16
7,google_gemini-2.5-flash,answer,final,int,16
