index,model,variable,role,type,value
19,anthropic_claude-3-5-haiku-20241022,miles_to_work,argument,int,20.0
19,anthropic_claude-3-5-haiku-20241022,workdays_per_week,argument,int,5.0
19,anthropic_claude-3-5-haiku-20241022,weekend_ride_miles,argument,int,200.0
19,anthropic_claude-3-5-haiku-20241022,bike_speed,argument,int,25.0
19,anthropic_claude-3-5-haiku-20241022,daily_work_miles,intermediate,int,40.0
19,anthropic_claude-3-5-haiku-20241022,weekly_work_miles,intermediate,int,200.0
19,anthropic_claude-3-5-haiku-20241022,total_miles,intermediate,int,400.0
19,anthropic_claude-3-5-haiku-20241022,total_biking_hours,intermediate,float,16.0
19,anthropic_claude-3-5-haiku-20241022,answer,final,float,16.0
19,openai_gpt-4.1-mini,workdays,argument,int,5.0
19,openai_gpt-4.1-mini,distance_one_way,argument,int,20.0
19,openai_gpt-4.1-mini,weekend_ride,argument,int,200.0
19,openai_gpt-4.1-mini,speed_mph,argument,int,25.0
19,openai_gpt-4.1-mini,daily_work_miles,intermediate,int,40.0
19,openai_gpt-4.1-mini,total_work_miles,intermediate,int,200.0
19,openai_gpt-4.1-mini,total_miles,intermediate,int,400.0
19,openai_gpt-4.1-mini,total_time_hours,intermediate,float,16.0
19,openai_gpt-4.1-mini,answer,final,float,16.0
19,google_gemini-2.0-flash-thinking-exp,num_workdays,argument,int,5.0
19,google_gemini-2.0-flash-thinking-exp,distance_to_work,argument,int,20.0
19,google_gemini-2.0-flash-thinking-exp,weekend_ride_distance,argument,int,200.0
19,google_gemini-2.0-flash-thinking-exp,biking_speed,argument,int,25.0
19,google_gemini-2.0-flash-thinking-exp,daily_work_distance,intermediate,int,40.0
19,google_gemini-2.0-flash-thinking-exp,weekly_work_distance,intermediate,int,200.0
19,google_gemini-2.0-flash-thinking-exp,total_weekly_distance,intermediate,int,400.0
19,google_gemini-2.0-flash-thinking-exp,total_time_hours,intermediate,float,16.0
19,google_gemini-2.0-flash-thinking-exp,answer,final,float,16.0
19,google_gemini-2.5-flash-lite-preview-06-17,work_distance,argument,int,20.0
19,google_gemini-2.5-flash-lite-preview-06-17,workdays,argument,int,5.0
19,google_gemini-2.5-flash-lite-preview-06-17,weekend_ride_distance,argument,int,200.0
19,google_gemini-2.5-flash-lite-preview-06-17,biking_speed,argument,int,25.0
19,google_gemini-2.5-flash-lite-preview-06-17,daily_work_distance,intermediate,int,40.0
19,google_gemini-2.5-flash-lite-preview-06-17,total_work_distance,intermediate,int,200.0
19,google_gemini-2.5-flash-lite-preview-06-17,total_weekly_distance,intermediate,int,400.0
19,google_gemini-2.5-flash-lite-preview-06-17,total_time_biking,intermediate,float,16.0
19,google_gemini-2.5-flash-lite-preview-06-17,answer,final,float,16.0
19,google_gemini-2.5-flash,workdays,argument,int,5.0
19,google_gemini-2.5-flash,work_distance_one_way,argument,int,20.0
19,google_gemini-2.5-flash,weekend_ride_distance,argument,int,200.0
19,google_gemini-2.5-flash,bike_speed,argument,int,25.0
19,google_gemini-2.5-flash,daily_work_distance,intermediate,int,40.0
19,google_gemini-2.5-flash,total_work_distance_weekly,intermediate,int,200.0
19,google_gemini-2.5-flash,total_weekly_distance,intermediate,int,400.0
19,google_gemini-2.5-flash,total_biking_time_hours,intermediate,float,16.0
19,google_gemini-2.5-flash,answer,final,float,16.0
