index,model,variable,role,type,value
38,anthropic_claude-3-5-haiku-20241022,mom_cup_size,argument,int,8.0
38,anthropic_claude-3-5-haiku-20241022,mom_tea_amount,argument,int,1.0
38,anthropic_claude-3-5-haiku-20241022,party_guests,argument,int,12.0
38,anthropic_claude-3-5-haiku-20241022,guest_cup_size,argument,int,6.0
38,anthropic_claude-3-5-haiku-20241022,total_water_volume,intermediate,int,72.0
38,anthropic_claude-3-5-haiku-20241022,total_tea_needed,intermediate,float,9.0
38,anthropic_claude-3-5-haiku-20241022,answer,final,float,9.0
38,openai_gpt-4.1-mini,num_people,argument,int,12.0
38,openai_gpt-4.1-mini,cup_size_party,argument,int,6.0
38,openai_gpt-4.1-mini,cup_size_mom,argument,int,8.0
38,openai_gpt-4.1-mini,tea_ounces_mom,argument,int,1.0
38,openai_gpt-4.1-mini,total_ounces_water,intermediate,int,72.0
38,openai_gpt-4.1-mini,ounces_tea_needed,intermediate,float,9.0
38,openai_gpt-4.1-mini,answer,final,float,9.0
38,google_gemini-2.0-flash-thinking-exp,mom_cup_size,argument,int,8.0
38,google_gemini-2.0-flash-thinking-exp,mom_tea_amount,argument,int,1.0
38,google_gemini-2.0-flash-thinking-exp,num_people,argument,int,12.0
38,google_gemini-2.0-flash-thinking-exp,party_cup_size,argument,int,6.0
38,google_gemini-2.0-flash-thinking-exp,total_water_needed,intermediate,int,72.0
38,google_gemini-2.0-flash-thinking-exp,total_tea_needed,intermediate,float,9.0
38,google_gemini-2.0-flash-thinking-exp,answer,final,float,9.0
38,google_gemini-2.5-flash-lite-preview-06-17,mom_cup_size,argument,int,8.0
38,google_gemini-2.5-flash-lite-preview-06-17,mom_tea_amount,argument,int,1.0
38,google_gemini-2.5-flash-lite-preview-06-17,num_people,argument,int,12.0
38,google_gemini-2.5-flash-lite-preview-06-17,guest_cup_size,argument,int,6.0
38,google_gemini-2.5-flash-lite-preview-06-17,total_water_ounces,intermediate,int,72.0
38,google_gemini-2.5-flash-lite-preview-06-17,tea_ounces_needed,intermediate,float,9.0
38,google_gemini-2.5-flash-lite-preview-06-17,answer,final,float,9.0
38,google_gemini-2.5-flash,mom_cup_size,argument,int,8.0
38,google_gemini-2.5-flash,mom_tea_amount,argument,int,1.0
38,google_gemini-2.5-flash,num_people,argument,int,12.0
38,google_gemini-2.5-flash,party_cup_size,argument,int,6.0
38,google_gemini-2.5-flash,total_water_ounces,intermediate,int,72.0
38,google_gemini-2.5-flash,ounces_of_tea_needed,intermediate,float,9.0
38,google_gemini-2.5-flash,answer,final,float,9.0
